Source Title,Scopus Source ID,MCQ,p_issn,e_issn,Top 10%,10% - 35%,35% - 60%,60% - 80%,Bottom 20%
"International Journal of Uncertainty, Fuzziness and Knowlege-Based Systems",24326,"0,0530973451327433",02184885,0,NO Top 10%,NO 10% - 35%,NO 35% - 60%,3,0
Iranian Journal of Fuzzy Systems,19700175219,"0,114173228346457",17350654,0,NO Top 10%,NO 10% - 35%,NO 35% - 60%,1,0
Iranian Journal of Mathematical Sciences and Informatics,21100198728,"0,116071428571429",17354463,20089473,NO Top 10%,NO 10% - 35%,NO 35% - 60%,1,0
Israel Journal of Mathematics,23270,"0,830073349633252",00212172,15658511,2,0,NO 35% - 60%,NO 60% - 80%,NO Bottom 20%
Journal for General Philosophy of Science,145571,0,09254560,15728587,NO Top 10%,NO 10% - 35%,NO 35% - 60%,28,0
Journal of Algebra,23814,"0,74296205630355",00218693,1090266X,3,0,NO 35% - 60%,NO 60% - 80%,NO Bottom 20%
Journal of Applied Non-Classical Logics,21100205762,"0,303370786516854",11663081,19585780,NO Top 10%,10,1,0,NO Bottom 20%
Journal of Artificial Intelligence Research,24330,"0,219594594594595",10769757,0,NO Top 10%,NO 10% - 35%,3,0,NO Bottom 20%
Journal of Automated Reasoning,24354,"0,60126582278481",01687433,15730670,4,0,NO 35% - 60%,NO 60% - 80%,NO Bottom 20%
Journal of Computer Science and Technology,26132,"0,0566037735849056",10009000,18604749,NO Top 10%,NO 10% - 35%,NO 35% - 60%,3,0
Journal of Computer and System Sciences,12370,"0,436194895591647",00220000,10902724,NO Top 10%,2,0,NO 60% - 80%,NO Bottom 20%
Journal of Formalized Reasoning,21100262198,"0,545454545454545",19725787,19725787,7,1,0,NO 60% - 80%,NO Bottom 20%
Journal of Logic and Analysis,21100828025,"0,230769230769231",0,17599008,NO Top 10%,NO 10% - 35%,2,0,NO Bottom 20%
Journal of Logic and Computation,25620,"0,481049562682216",0955792X,1465363X,NO Top 10%,1,0,NO 60% - 80%,NO Bottom 20%
"Journal of Logic, Language and Information",145095,"0,269230769230769",09258531,15729583,NO Top 10%,NO 10% - 35%,1,0,NO Bottom 20%
Journal of Logical and Algebraic Methods in Programming,21100403130,"0,365758754863813",23522208,23522216,NO Top 10%,3,0,NO 60% - 80%,NO Bottom 20%
Journal of Mathematical Logic,12000154480,"0,943396226415094",02190613,0,2,0,NO 35% - 60%,NO 60% - 80%,NO Bottom 20%
Journal of Multiple-Valued Logic and Soft Computing,23958,"0,0467289719626168",15423980,15423999,NO Top 10%,NO 10% - 35%,NO 35% - 60%,4,0
Journal of Pure and Applied Algebra,23968,"0,745714285714286",00224049,0,3,0,NO 35% - 60%,NO 60% - 80%,NO Bottom 20%
Journal of Symbolic Computation,28503,"0,582172701949861",07477171,1095855X,4,0,NO 35% - 60%,NO 60% - 80%,NO Bottom 20%
Journal of Symbolic Logic,23974,"0,679144385026738",00224812,0,3,0,NO 35% - 60%,NO 60% - 80%,NO Bottom 20%
Journal of Universal Computer Science,145537,"0,0378787878787878",0948695X,09486968,NO Top 10%,NO 10% - 35%,NO 35% - 60%,5,0
Journal of the ACM,23127,"1,55357142857143",00045411,1557735X,1,0,NO 35% - 60%,NO 60% - 80%,NO Bottom 20%
Journal of the American Mathematical Society,24668,"5,22480620155039",08940347,10886834,1,0,NO 35% - 60%,NO 60% - 80%,NO Bottom 20%
Journal of the Australian Mathematical Society,25255,"0,643776824034335",14467887,14468107,4,0,NO 35% - 60%,NO 60% - 80%,NO Bottom 20%
Journal of the European Mathematical Society,26447,"2,28712871287129",14359855,14359863,1,0,NO 35% - 60%,NO 60% - 80%,NO Bottom 20%
Journal of the Indian Mathematical Society,21100259506,"0,065359477124183",00195839,24556475,NO Top 10%,NO 10% - 35%,NO 35% - 60%,2,0
Journal of the Institute of Mathematics of Jussieu,5800228226,"1,08461538461538",14747480,14753030,2,0,NO 35% - 60%,NO 60% - 80%,NO Bottom 20%
Journal of the Korean Mathematical Society,145254,"0,413875598086124",03049914,22343008,NO Top 10%,2,0,NO 60% - 80%,NO Bottom 20%
Journal of the London Mathematical Society,24483,"1,21641791044776",00246107,14697750,2,0,NO 35% - 60%,NO 60% - 80%,NO Bottom 20%
Journal of the Mathematical Society of Japan,25058,"0,801857585139319",00255645,18811167,2,0,NO 35% - 60%,NO 60% - 80%,NO Bottom 20%
Kybernetes,12981,0,0368492X,0,NO Top 10%,NO 10% - 35%,NO 35% - 60%,28,0
Kybernetika,24449,"0,0938511326860841",00235954,1805949X,NO Top 10%,NO 10% - 35%,NO 35% - 60%,1,0
Lobachevskii Journal of Mathematics,24479,"0,154135338345865",19950802,18189962,NO Top 10%,NO 10% - 35%,7,1,0
Logic Journal of the IGPL,5000154601,"0,1640625",13670751,13689894,NO Top 10%,NO 10% - 35%,5,1,0
Logic and Logical Philosophy,21100204110,"0,0642201834862385",14253305,23009802,NO Top 10%,NO 10% - 35%,NO 35% - 60%,2,0
